KQA7,32.6,65.87
KNTK,33.7,-117.833
KQSP,36.65,66.983
OADZ,38.433,70.8
OAUZ,36.667,68.917
OAMS,36.707,67.21
OASG,36.667,65.717
OAFZ,37.117,70.517
OAHN,37.883,70.217
OAYQ,37.467,69.667
OADF,35.917,67.283
OAMN,35.933,64.767
OAZB,36.5,71.25
OAEM,36.7,71.567
OABN,34.817,67.817
OACC,33.533,65.267
OAHR,34.21,62.228
OAQN,35,63.117
OAHJ,34.583,68.1
OAJS,35.133,69.25
OALN,34.65,70.217
OAKB,34.566,69.212
OAPG,34.583,68.983
OAPJ,34.383,67.033
OAFR,32.367,62.183
OAKS,33.35,69.95
OAGN,33.533,68.417
OABD,34.3,67.85
OASD,33.391,62.261
OAJL,34.4,70.499
OAGA,34.317,70.767
OAKT,32.117,66.9
OATT,32.617,65.867
OAGL,32.617,63.667
OAKN,31.506,65.848
OAZG,31,61.85
OADW,32.2,68.35
KQBH,31.85,64.2
KQMH,35.93,64.76
KQD2,34.617,69.717
KQZ4,32.1,63.4
KQBK,32.25,62.95
KQW3,34.983,70.9
KQEF,32.8,67.633
KQLE,31.9,64.183
KQKP,36.71,67.21
OASH,33.917,69.067
KQYL,32.65,66.8
KQYM,32.017,64.833
KQYJ,32.517,68.867
KQTD,35.6,63.3
KQSE,36.75,65.917
KQSC,31.6,64.367
KQVE,35.217,71.517
KQOW,34.183,70.817
KQYS,34.983,63.117
